name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
Dr. Molinari (Earth-616),\/Dr._Molinari_(Earth-616),,,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Sep-68,1968
Gondolff (Asgardian) (Earth-616),\/Gondolff_(Asgardian)_(Earth-616),,Good Characters,,Strawberry Blond Hair,Male Characters,,Living Characters,3,Dec-68,1968
Greer (Earth-616),\/Greer_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,3,Jul-68,1968
Joe Morita (Earth-616),\/Joe_Morita_(Earth-616),,,,,Male Characters,,Living Characters,3,Mar-68,1968
P.D.Q. Werner (Earth-616),\/P.D.Q._Werner_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,3,Jul-68,1968
Rex Griffin (Earth-616),\/Rex_Griffin_(Earth-616),,,,,Male Characters,,Deceased Characters,3,Sep-68,1968
Roy Thomas (Earth-616),\/Roy_Thomas_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,3,Sep-68,1968
Rynda (Earth-616),\/Rynda_(Earth-616),Secret Identity,,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,3,Jan-68,1968
Synthetic Man (Earth-616),\/Synthetic_Man_(Earth-616),,Bad Characters,,,,,Living Characters,3,May-68,1968
Toshiro Monsoon (Earth-616),\/Toshiro_Monsoon_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,3,Mar-68,1968
Voltorg (Earth-616),\/Voltorg_(Earth-616),,Bad Characters,,,,,Deceased Characters,3,Feb-68,1968
Charles Gray (Earth-616),\/Charles_Gray_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Dec-69,1969
Daydra (Earth-616),\/Daydra_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,3,Feb-69,1969
Gargantos (Earth-616),\/Gargantos_(Earth-616),,Bad Characters,,,,,Living Characters,3,May-69,1969
Gwenny Lee (Earth-616),\/Gwenny_Lee_(Earth-616),,,,Black Hair,Female Characters,,Living Characters,3,Nov-69,1969
Mei Ling (Earth-616),\/Mei_Ling_(Earth-616),,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,3,Jan-69,1969
Robert Rickard (Earth-616),\/Robert_Rickard_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,May-69,1969
Torpedo (Agent of Crime-Wave) (Earth-616),\/Torpedo_(Agent_of_Crime-Wave)_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3,Dec-69,1969
Ulysses Abboud (Earth-616),\/Ulysses_Abboud_(Earth-616),,Bad Characters,Brown Eyes,No Hair,Male Characters,,Deceased Characters,3,Jan-69,1969
Big Rock (Earth-616),\/Big_Rock_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Aug-70,1970
Bisq (Earth-616),\/Bisq_(Earth-616),,,,Green Hair,Female Characters,,Living Characters,3,Apr-70,1970
Carlos Cortez (Earth-616),\/Carlos_Cortez_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,3,Aug-70,1970
Fujiko Watanabe (Earth-616),\/Fujiko_Watanabe_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,3,Oct-70,1970
Goro Watanabe (Earth-616),\/Goro_Watanabe_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Oct-70,1970
Hans Klaus (Earth-616),\/Hans_Klaus_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Apr-70,1970
Kronin Krask (Earth-616),\/Kronin_Krask_(Earth-616),Public Identity,Bad Characters,,Orange Hair,Male Characters,,Living Characters,3,Jan-70,1970
Little Flower (Earth-616),\/Little_Flower_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,3,Aug-70,1970
The Dude (Earth-616),\/The_Dude_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,3,Aug-70,1970
The Kid (Earth-616),\/The_Kid_(Earth-616),Secret Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,3,Aug-70,1970
Tomo Yoshida (Earth-616),\/Tomo_Yoshida_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Jan-70,1970
Top Man (Earth-616),\/Top_Man_(Earth-616),,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,Aug-70,1970
Astrologer (Earth-616),\/Astrologer_(Earth-616),,Bad Characters,,White Hair,Male Characters,,Deceased Characters,3,Mar-71,1971
Ben Crandal (Earth-616),\/Ben_Crandal_(Earth-616),No Dual Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,3,Oct-71,1971
Blackrat (Earth-616),\/Blackrat_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,3,Jun-71,1971
Captain Cybor (Earth-616),\/Captain_Cybor_(Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,3,Mar-71,1971
Kuthulos (Earth-616),\/Kuthulos_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,3,Mar-71,1971
Lionel Dibbs (Earth-616),\/Lionel_Dibbs_(Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Mar-71,1971
Tragg (Earth-616),\/Tragg_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Oct-71,1971
Zephra (Hyborian) (Earth-616),\/Zephra_(Hyborian)_(Earth-616),,,Blue Eyes,Brown Hair,Female Characters,,Living Characters,3,May-71,1971
Coral (Earth-616),\/Coral_(Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,3,Dec-72,1972
Georgia Jenkins (Earth-616),\/Georgia_Jenkins_(Earth-616),,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Nov-72,1972
Inheritor (Earth-616),\/Inheritor_(Earth-616),No Dual Identity,Bad Characters,Black Eyes,No Hair,Male Characters,,Living Characters,3,Mar-72,1972
Kartag (Earth-616),\/Kartag_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,3,Feb-72,1972
Malcolm Donalbain (Earth-616),\/Malcolm_Donalbain_(Earth-616),No Dual Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Nov-72,1972
Marlene Blackgar (Earth-616),\/Marlene_Blackgar_(Earth-616),,Bad Characters,White Eyes,Brown Hair,Female Characters,,Deceased Characters,3,Jun-72,1972
Miles Blackgar (Earth-616),\/Miles_Blackgar_(Earth-616),,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,3,Jun-72,1972
Morton Clegstead (Earth-616),\/Morton_Clegstead_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Deceased Characters,3,Apr-72,1972
Night Phantom (Robot) (Earth-616),\/Night_Phantom_(Robot)_(Earth-616),,Bad Characters,,,,,Deceased Characters,3,Jan-72,1972
Orkie (Earth-616),\/Orkie_(Earth-616),Public Identity,Neutral Characters,,White Hair,Male Characters,,Living Characters,3,Jul-72,1972
Otto Kronsteig (Earth-616),\/Otto_Kronsteig_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,3,Sep-72,1972
Quirt (Earth-616),\/Quirt_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Jun-72,1972
Shirlee Bryant (Earth-616),\/Shirlee_Bryant_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,3,Nov-72,1972
Sir Ram (Earth-616),\/Sir_Ram_(Earth-616),Secret Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,3,Apr-72,1972
Tyler Stuart (Earth-616),\/Tyler_Stuart_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,3,Jun-72,1972
William Nelson (Earth-616),\/William_Nelson_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,3,Nov-72,1972
Zabo Donalbain (Earth-616),\/Zabo_Donalbain_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Nov-72,1972
Alejandro Cortez (Earth-616),\/Alejandro_Cortez_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Sep-73,1973
Arkus (Earth-616),\/Arkus_(Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Living Characters,3,Jul-73,1973
Atalis (Earth-616),\/Atalis_(Earth-616),,,Brown Eyes,Bald,Male Characters,,Living Characters,3,Sep-73,1973
Baron Samedi (AIM) (Earth-616),\/Baron_Samedi_(AIM)_(Earth-616),,Bad Characters,,White Hair,Male Characters,,Living Characters,3,Dec-73,1973
Frances Delon (Earth-616),\/Frances_Delon_(Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,3,Apr-73,1973
Jacob Reiss (Earth-616),\/Jacob_Reiss_(Earth-616),Public Identity,,,,Male Characters,,Deceased Characters,3,Jan-73,1973
Kathulos (Earth-616),\/Kathulos_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Deceased Characters,3,May-73,1973
Marguerita (Earth-616),\/Marguerita_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,3,Nov-73,1973
Raman (Earth-616),\/Raman_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,3,Oct-73,1973
Skragg (Earth-616),\/Skragg_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,3,Mar-73,1973
Terrex (Earth-616),\/Terrex_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Nov-73,1973
Thann (Earth-616),\/Thann_(Earth-616),,,,,Male Characters,,Living Characters,3,Sep-73,1973
Vanessa Brooks (Earth-616),\/Vanessa_Brooks_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,3,Oct-73,1973
William Frankenstein (Earth-616),\/William_Frankenstein_(Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,3,Jan-73,1973
Algon (Earth-616),\/Algon_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3,Jan-74,1974
Anton Vierken (Earth-616),\/Anton_Vierken_(Earth-616),No Dual Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,3,Dec-74,1974
Ape God (Earth-616),\/Ape_God_(Earth-616),,,,,Male Characters,,Living Characters,3,Apr-74,1974
Barachuudar (Earth-616),\/Barachuudar_(Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Jun-74,1974
Baron Thunder (Earth-616),\/Baron_Thunder_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,May-74,1974
Ben Vincent (Earth-616),\/Ben_Vincent_(Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Living Characters,3,Jul-74,1974
Brian Lazarus (Earth-616),\/Brian_Lazarus_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,3,Dec-74,1974
Bruno (Hunchback) (Earth-616),\/Bruno_(Hunchback)_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Aug-74,1974
Cobrah (Earth-616),\/Cobrah_(Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Jun-74,1974
Crackerjack Jackson (Earth-616),\/Crackerjack_Jackson_(Earth-616),,Good Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,3,Dec-74,1974
Darrel Daniel (Earth-616),\/Darrel_Daniel_(Earth-616),Public Identity,,Brown Eyes,Blond Hair,Male Characters,,Deceased Characters,3,May-74,1974
Dracus (Earth-616),\/Dracus_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,3,Feb-74,1974
Exterminators (Earth-616),\/Exterminators_(Earth-616),No Dual Identity,Bad Characters,,,,,Living Characters,3,Feb-74,1974
Grigory Russoff (Earth-616),\/Grigory_Russoff_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Mar-74,1974
Ivan (Frankenstein) (Earth-616),\/Ivan_(Frankenstein)_(Earth-616),,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,3,May-74,1974
Janice Caccone (Earth-616),\/Janice_Caccone_(Earth-616),Public Identity,Neutral Characters,,,Female Characters,,Deceased Characters,3,Nov-74,1974
Julia Winters (from Monsters Unleashed) (Earth-616),\/Julia_Winters_(from_Monsters_Unleashed)_(Earth-616),No Dual Identity,Neutral Characters,,,Female Characters,,Living Characters,3,Oct-74,1974
June Volper (Earth-616),\/June_Volper_(Earth-616),No Dual Identity,,,Red Hair,Female Characters,,Living Characters,3,Jul-74,1974
Kaballa (Earth-616),\/Kaballa_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Deceased Characters,3,Oct-74,1974
Linbythoum (Earth-616),\/Linbythoum_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Nov-74,1974
Lord I (Earth-616),\/Lord_I_(Earth-616),,,One Eye,,Male Characters,,Living Characters,3,Aug-74,1974
Louis Belski (Earth-616),\/Louis_Belski_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,3,Jan-74,1974
Mendinao (Wakandian) (Earth-616),\/Mendinao_(Wakandian)_(Earth-616),,,,Grey Hair,Male Characters,,Living Characters,3,Jan-74,1974
Moondog the Malicious (Earth-616),\/Moondog_the_Malicious_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Aug-74,1974
Rowregyynac (Earth-616),\/Rowregyynac_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Nov-74,1974
Snakar (Earth-616),\/Snakar_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Jun-74,1974
Sombre (Earth-616),\/Sombre_(Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,3,Nov-74,1974
Steve Rand (Earth-616),\/Steve_Rand_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Oct-74,1974
Steven Caccone (Earth-616),\/Steven_Caccone_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,3,Nov-74,1974
Triple-Iron (Earth-616),\/Triple-Iron_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Sep-74,1974
Weezhil (Earth-616),\/Weezhil_(Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Jun-74,1974
Winston Redditch (Earth-616),\/Winston_Redditch_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,3,Dec-74,1974
Yentron (Earth-616),\/Yentron_(Earth-616),,Bad Characters,,,,,Living Characters,3,Nov-74,1974
Yvette Steckley (Earth-616),\/Yvette_Steckley_(Earth-616),Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Deceased Characters,3,May-74,1974
Zannarth (Earth-616),\/Zannarth_(Earth-616),,Bad Characters,Yellow Eyes,Black Hair,Male Characters,,Living Characters,3,Jul-74,1974
Astrid Josefson (Earth-616),\/Astrid_Josefson_(Earth-616),,Good Characters,,,Female Characters,,Deceased Characters,3,Apr-75,1975
Bernard Kloss (Earth-616),\/Bernard_Kloss_(Earth-616),No Dual Identity,,,Grey Hair,Male Characters,,Living Characters,3,Jul-75,1975
Charlton Grundge (Earth-616),\/Charlton_Grundge_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Dec-75,1975
Christine Sandt (Earth-616),\/Christine_Sandt_(Earth-616),,,,,Female Characters,,Living Characters,3,Feb-75,1975
Daniel Madrox (Earth-616),\/Daniel_Madrox_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,3,Feb-75,1975
Danielle Nicolle (Earth-616),\/Danielle_Nicolle_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,3,Aug-75,1975
Egeus (Earth-616),\/Egeus_(Earth-616),No Dual Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Oct-75,1975
George Teekle (Earth-616),\/George_Teekle_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Mar-75,1975
Ivan Carmichael (Earth-616),\/Ivan_Carmichael_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,3,May-75,1975
Janice Foswell (Earth-616),\/Janice_Foswell_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,3,Nov-75,1975
Jess Duncan (Earth-616),\/Jess_Duncan_(Earth-616),,,,Black Hair,Male Characters,,Living Characters,3,Aug-75,1975
Joan Madrox (Earth-616),\/Joan_Madrox_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,3,Feb-75,1975
Joel Tanner (Earth-616),\/Joel_Tanner_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Deceased Characters,3,Jun-75,1975
Judith Klemmer (Earth-616),\/Judith_Klemmer_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,3,Aug-75,1975
Kalumai (Earth-616),\/Kalumai_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Aug-75,1975
Klonus (Earth-616),\/Klonus_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Feb-75,1975
Kthara (Earth-616),\/Kthara_(Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Female Characters,,Living Characters,3,Oct-75,1975
Ludwig von Shtupf (Earth-616),\/Ludwig_von_Shtupf_(Earth-616),,Bad Characters,,Grey Hair,Male Characters,,Living Characters,3,Aug-75,1975
Madam Slay (Earth-616),\/Madam_Slay_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,3,Nov-75,1975
Malcolm Merriwell (Earth-616),\/Malcolm_Merriwell_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Feb-75,1975
Manuel Arguelles (Earth-616),\/Manuel_Arguelles_(Earth-616),,,,,Male Characters,,Living Characters,3,Nov-75,1975
Maria Russoff (Earth-616),\/Maria_Russoff_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,3,Jan-75,1975
Morag (Earth-616),\/Morag_(Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,3,Mar-75,1975
Mortak (Earth-616),\/Mortak_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Feb-75,1975
Ogun Strong (Earth-616),\/Ogun_Strong_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,3,Mar-75,1975
Olivia Selby (Earth-616),\/Olivia_Selby_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,3,May-75,1975
Orji Jones (Earth-616),\/Orji_Jones_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,3,Mar-75,1975
Publius (Earth-616),\/Publius_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,3,Jun-75,1975
Rainbow (I.C.O.N.) (Earth-616),\/Rainbow_(I.C.O.N.)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jul-75,1975
Satorymho (Earth-616),\/Satorymho_(Earth-616),,Neutral Characters,,Red Hair,Male Characters,,Deceased Characters,3,Aug-75,1975
Shadow Stalker (Earth-616),\/Shadow_Stalker_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Mar-75,1975
Simon Bretnor (Earth-616),\/Simon_Bretnor_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Oct-75,1975
Tiger-Claw (Earth-616),\/Tiger-Claw_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Jun-75,1975
Zandor (Earth-616),\/Zandor_(Earth-616),,Bad Characters,,Bald,Male Characters,,Living Characters,3,Jan-75,1975
Araman Nila (Earth-616),\/Araman_Nila_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Dec-76,1976
Big Brother (Earth-616),\/Big_Brother_(Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Nov-76,1976
Black Knight (Robot) (Earth-616),\/Black_Knight_(Robot)_(Earth-616),,Good Characters,,,,,Living Characters,3,Mar-76,1976
Brian Mann (Earth-616),\/Brian_Mann_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Dec-76,1976
Celia Jackson (Earth-616),\/Celia_Jackson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,3,Apr-76,1976
Challenger (Demon) (Earth-616),\/Challenger_(Demon)_(Earth-616),,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Apr-76,1976
Dreyfus Gultch (Earth-616),\/Dreyfus_Gultch_(Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Living Characters,3,Dec-76,1976
Falzon (Earth-616),\/Falzon_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,3,Feb-76,1976
Gordon Dare (Earth-616),\/Gordon_Dare_(Earth-616),Secret Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,3,Jul-76,1976
Heshin (Earth-616),\/Heshin_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,3,Feb-76,1976
Hoenir (Earth-616),\/Hoenir_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,3,Sep-76,1976
Hugh Dare (Earth-616),\/Hugh_Dare_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,3,Jul-76,1976
Jaard (Earth-616),\/Jaard_(Earth-616),,Neutral Characters,Gold Eyes,Gold Hair,Male Characters,,Deceased Characters,3,Feb-76,1976
Jan Maarshall (Earth-616),\/Jan_Maarshall_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,3,Dec-76,1976
Jerry Brown (Earth-616),\/Jerry_Brown_(Earth-616),No Dual Identity,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,3,Oct-76,1976
"John Romita, Sr. (Earth-616)","\/John_Romita,_Sr._(Earth-616)",,Good Characters,,White Hair,Male Characters,,Living Characters,3,Jun-76,1976
Karen Lee (Kali) (Earth-616),\/Karen_Lee_(Kali)_(Earth-616),,Bad Characters,,Black Hair,Female Characters,,Living Characters,3,Dec-76,1976
Martin Aaronson (Earth-616),\/Martin_Aaronson_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Dec-76,1976
Master of the Sun (Earth-616),\/Master_of_the_Sun_(Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,,Living Characters,3,Jan-76,1976
Oliver P. Sneagle (Earth-616),\/Oliver_P._Sneagle_(Earth-616),,,,,Male Characters,,Living Characters,3,Aug-76,1976
Randy Tate (Earth-616),\/Randy_Tate_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,3,Dec-76,1976
Regina Clayborne (Earth-616),\/Regina_Clayborne_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,3,Aug-76,1976
Si Fan Chung (Earth-616),\/Si_Fan_Chung_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Dec-76,1976
Soul-Strangler (Earth-616),\/Soul-Strangler_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jul-76,1976
Stoneface Turner (Earth-616),\/Stoneface_Turner_(Earth-616),Public Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,3,Dec-76,1976
Tinkerbelle (Earth-616),\/Tinkerbelle_(Earth-616),Secret Identity,Neutral Characters,,,Female Characters,,Living Characters,3,Mar-76,1976
Victor Norman (Earth-616),\/Victor_Norman_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Dec-76,1976
Xander (Creators) (Earth-616),\/Xander_(Creators)_(Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Living Characters,3,Oct-76,1976
Aaron Stankey (Earth-616),\/Aaron_Stankey_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Sep-77,1977
Balzor (Earth-616),\/Balzor_(Earth-616),,,,,,,Living Characters,3,Mar-77,1977
Barb (Earth-616),\/Barb_(Earth-616),No Dual Identity,,Black Eyes,Brown Hair,Female Characters,,Living Characters,3,Nov-77,1977
Batragon (Earth-616),\/Batragon_(Earth-616),,Bad Characters,,No Hair,Male Characters,,Deceased Characters,3,Nov-77,1977
Biljo White (Earth-616),\/Biljo_White_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,3,Jun-77,1977
Bobby Sue Hollis (Earth-616),\/Bobby_Sue_Hollis_(Earth-616),No Dual Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,3,Dec-77,1977
Centipor (Earth-616),\/Centipor_(Earth-616),,Bad Characters,,No Hair,Male Characters,,Deceased Characters,3,Nov-77,1977
Dibbuk (Earth-616),\/Dibbuk_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Oct-77,1977
Gemini (Android) (Earth-616),\/Gemini_(Android)_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,3,Jul-77,1977
Ghilaron (Earth-616),\/Ghilaron_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3,Nov-77,1977
Gormok (Earth-616),\/Gormok_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Apr-77,1977
Hector Santiago (Earth-616),\/Hector_Santiago_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Feb-77,1977
Jason Dean (Earth-616),\/Jason_Dean_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Aug-77,1977
Kenneth Sturdy (Earth-616),\/Kenneth_Sturdy_(Earth-616),,Bad Characters,Black Eyes,Grey Hair,Male Characters,,Deceased Characters,3,Oct-77,1977
Lepirax (Earth-616),\/Lepirax_(Earth-616),,Bad Characters,Compound Eyes,,Male Characters,,Living Characters,3,Nov-77,1977
Metalloid (Earth-616),\/Metalloid_(Earth-616),,Bad Characters,,,,,Living Characters,3,Feb-77,1977
Michael Armstrong (Earth-616),\/Michael_Armstrong_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,3,Jul-77,1977
Oliver Broadhurst (Earth-616),\/Oliver_Broadhurst_(Earth-616),Public Identity,Good Characters,,Bald,Male Characters,,Living Characters,3,Jul-77,1977
Samuel Burley (Earth-616),\/Samuel_Burley_(Earth-616),,,,,Male Characters,,Living Characters,3,Sep-77,1977
Tod Radcliffe (Earth-616),\/Tod_Radcliffe_(Earth-616),No Dual Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,3,Feb-77,1977
Zakka (Earth-616),\/Zakka_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,3,Aug-77,1977
Arabella Jones (Earth-616),\/Arabella_Jones_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,3,Mar-78,1978
Arcturus (Rigellian) (Earth-616),\/Arcturus_(Rigellian)_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,3,May-78,1978
